year,state,rank,premium_variant,default_mapping_rule,turnover_failure_reason,plan_pair_rows,turnover_rows,non_turnover_rows
2023,SC,second_lowest,ehb_named_states_only,no_same_issuer_priority,turnover,68,68,0
2023,SC,second_lowest,ehb_named_states_only,reason8_priority,both_zero,24,0,24
2023,SC,second_lowest,ehb_named_states_only,reason8_priority,turnover,68,68,0
2023,SC,second_lowest,ehb_named_states_only,same_plan_if_available_else_lowest_level,both_zero,24,0,24
2023,SC,second_lowest,ehb_named_states_only,same_plan_if_available_else_lowest_level,turnover,68,68,0
2023,SC,second_lowest,ehb_named_states_only,same_plan_if_available_else_source_order,both_zero,24,0,24
2023,SC,second_lowest,ehb_named_states_only,same_plan_if_available_else_source_order,turnover,68,68,0
2023,SC,second_lowest,ehb_named_states_only,source_order_first_valid,both_zero,24,0,24
2023,SC,second_lowest,ehb_named_states_only,source_order_first_valid,turnover,68,68,0
2023,SC,second_lowest,ehb_named_states_only,whole_county_00000_only,both_zero,24,0,24
2023,SC,second_lowest,ehb_named_states_only,whole_county_00000_only,turnover,68,68,0
2023,SD,lowest,current_ehb_all_states,county_any_zip_across_turnover,both_zero,48,0,48
2023,SD,lowest,current_ehb_all_states,county_any_zip_across_turnover,turnover,84,84,0
2023,SD,lowest,current_ehb_all_states,county_any_zip_turnover,both_zero,48,0,48
2023,SD,lowest,current_ehb_all_states,county_any_zip_turnover,turnover,84,84,0
2023,SD,lowest,current_ehb_all_states,current_repo_rule,both_zero,48,0,48
2023,SD,lowest,current_ehb_all_states,current_repo_rule,turnover,84,84,0
2023,SD,lowest,current_ehb_all_states,exclude_level4_5,both_zero,48,0,48
2023,SD,lowest,current_ehb_all_states,exclude_level4_5,turnover,84,84,0
2023,SD,lowest,current_ehb_all_states,include_level4_5_as_missing_current,both_zero,48,0,48
2023,SD,lowest,current_ehb_all_states,include_level4_5_as_missing_current,turnover,84,84,0
2023,SD,lowest,current_ehb_all_states,lowest_crosswalk_level,both_zero,48,0,48
2023,SD,lowest,current_ehb_all_states,lowest_crosswalk_level,turnover,84,84,0
2023,SD,lowest,current_ehb_all_states,no_same_issuer_priority,both_zero,48,0,48
2023,SD,lowest,current_ehb_all_states,no_same_issuer_priority,turnover,84,84,0
2023,SD,lowest,current_ehb_all_states,reason8_priority,both_zero,48,0,48
2023,SD,lowest,current_ehb_all_states,reason8_priority,turnover,84,84,0
2023,SD,lowest,current_ehb_all_states,same_plan_if_available_else_lowest_level,both_zero,48,0,48
2023,SD,lowest,current_ehb_all_states,same_plan_if_available_else_lowest_level,turnover,84,84,0
2023,SD,lowest,current_ehb_all_states,same_plan_if_available_else_source_order,both_zero,48,0,48
2023,SD,lowest,current_ehb_all_states,same_plan_if_available_else_source_order,turnover,84,84,0
2023,SD,lowest,current_ehb_all_states,source_order_first_valid,both_zero,48,0,48
2023,SD,lowest,current_ehb_all_states,source_order_first_valid,turnover,84,84,0
2023,SD,lowest,current_ehb_all_states,whole_county_00000_only,both_zero,48,0,48
2023,SD,lowest,current_ehb_all_states,whole_county_00000_only,turnover,84,84,0
2023,SD,lowest,ehb_named_states_only,county_any_zip_across_turnover,both_zero,48,0,48
2023,SD,lowest,ehb_named_states_only,county_any_zip_across_turnover,turnover,84,84,0
2023,SD,lowest,ehb_named_states_only,county_any_zip_turnover,both_zero,48,0,48
2023,SD,lowest,ehb_named_states_only,county_any_zip_turnover,turnover,84,84,0
2023,SD,lowest,ehb_named_states_only,current_repo_rule,both_zero,48,0,48
2023,SD,lowest,ehb_named_states_only,current_repo_rule,turnover,84,84,0
2023,SD,lowest,ehb_named_states_only,exclude_level4_5,both_zero,48,0,48
2023,SD,lowest,ehb_named_states_only,exclude_level4_5,turnover,84,84,0
2023,SD,lowest,ehb_named_states_only,include_level4_5_as_missing_current,both_zero,48,0,48
2023,SD,lowest,ehb_named_states_only,include_level4_5_as_missing_current,turnover,84,84,0
2023,SD,lowest,ehb_named_states_only,lowest_crosswalk_level,both_zero,48,0,48
2023,SD,lowest,ehb_named_states_only,lowest_crosswalk_level,turnover,84,84,0
2023,SD,lowest,ehb_named_states_only,no_same_issuer_priority,both_zero,48,0,48
2023,SD,lowest,ehb_named_states_only,no_same_issuer_priority,turnover,84,84,0
2023,SD,lowest,ehb_named_states_only,reason8_priority,both_zero,48,0,48
2023,SD,lowest,ehb_named_states_only,reason8_priority,turnover,84,84,0
2023,SD,lowest,ehb_named_states_only,same_plan_if_available_else_lowest_level,both_zero,48,0,48
2023,SD,lowest,ehb_named_states_only,same_plan_if_available_else_lowest_level,turnover,84,84,0
2023,SD,lowest,ehb_named_states_only,same_plan_if_available_else_source_order,both_zero,48,0,48
2023,SD,lowest,ehb_named_states_only,same_plan_if_available_else_source_order,turnover,84,84,0
2023,SD,lowest,ehb_named_states_only,source_order_first_valid,both_zero,48,0,48
2023,SD,lowest,ehb_named_states_only,source_order_first_valid,turnover,84,84,0
2023,SD,lowest,ehb_named_states_only,whole_county_00000_only,both_zero,48,0,48
2023,SD,lowest,ehb_named_states_only,whole_county_00000_only,turnover,84,84,0
2023,SD,second_lowest,current_ehb_all_states,county_any_zip_across_turnover,both_zero,52,0,52
2023,SD,second_lowest,current_ehb_all_states,county_any_zip_across_turnover,turnover,80,80,0
2023,SD,second_lowest,current_ehb_all_states,county_any_zip_turnover,both_zero,52,0,52
2023,SD,second_lowest,current_ehb_all_states,county_any_zip_turnover,turnover,80,80,0
2023,SD,second_lowest,current_ehb_all_states,current_repo_rule,both_zero,52,0,52
2023,SD,second_lowest,current_ehb_all_states,current_repo_rule,turnover,80,80,0
2023,SD,second_lowest,current_ehb_all_states,exclude_level4_5,both_zero,52,0,52
2023,SD,second_lowest,current_ehb_all_states,exclude_level4_5,turnover,80,80,0
2023,SD,second_lowest,current_ehb_all_states,include_level4_5_as_missing_current,both_zero,52,0,52
2023,SD,second_lowest,current_ehb_all_states,include_level4_5_as_missing_current,turnover,80,80,0
2023,SD,second_lowest,current_ehb_all_states,lowest_crosswalk_level,both_zero,52,0,52
2023,SD,second_lowest,current_ehb_all_states,lowest_crosswalk_level,turnover,80,80,0
2023,SD,second_lowest,current_ehb_all_states,no_same_issuer_priority,both_zero,52,0,52
2023,SD,second_lowest,current_ehb_all_states,no_same_issuer_priority,turnover,80,80,0
2023,SD,second_lowest,current_ehb_all_states,reason8_priority,both_zero,52,0,52
2023,SD,second_lowest,current_ehb_all_states,reason8_priority,turnover,80,80,0
2023,SD,second_lowest,current_ehb_all_states,same_plan_if_available_else_lowest_level,both_zero,52,0,52
2023,SD,second_lowest,current_ehb_all_states,same_plan_if_available_else_lowest_level,turnover,80,80,0
2023,SD,second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,both_zero,52,0,52
2023,SD,second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,turnover,80,80,0
2023,SD,second_lowest,current_ehb_all_states,source_order_first_valid,both_zero,52,0,52
2023,SD,second_lowest,current_ehb_all_states,source_order_first_valid,turnover,80,80,0
2023,SD,second_lowest,current_ehb_all_states,whole_county_00000_only,both_zero,52,0,52
2023,SD,second_lowest,current_ehb_all_states,whole_county_00000_only,turnover,80,80,0
2023,SD,second_lowest,ehb_named_states_only,county_any_zip_across_turnover,both_zero,52,0,52
2023,SD,second_lowest,ehb_named_states_only,county_any_zip_across_turnover,turnover,80,80,0
2023,SD,second_lowest,ehb_named_states_only,county_any_zip_turnover,both_zero,52,0,52
2023,SD,second_lowest,ehb_named_states_only,county_any_zip_turnover,turnover,80,80,0
2023,SD,second_lowest,ehb_named_states_only,current_repo_rule,both_zero,52,0,52
2023,SD,second_lowest,ehb_named_states_only,current_repo_rule,turnover,80,80,0
2023,SD,second_lowest,ehb_named_states_only,exclude_level4_5,both_zero,52,0,52
2023,SD,second_lowest,ehb_named_states_only,exclude_level4_5,turnover,80,80,0
2023,SD,second_lowest,ehb_named_states_only,include_level4_5_as_missing_current,both_zero,52,0,52
2023,SD,second_lowest,ehb_named_states_only,include_level4_5_as_missing_current,turnover,80,80,0
2023,SD,second_lowest,ehb_named_states_only,lowest_crosswalk_level,both_zero,52,0,52
2023,SD,second_lowest,ehb_named_states_only,lowest_crosswalk_level,turnover,80,80,0
2023,SD,second_lowest,ehb_named_states_only,no_same_issuer_priority,both_zero,52,0,52
2023,SD,second_lowest,ehb_named_states_only,no_same_issuer_priority,turnover,80,80,0
2023,SD,second_lowest,ehb_named_states_only,reason8_priority,both_zero,52,0,52
2023,SD,second_lowest,ehb_named_states_only,reason8_priority,turnover,80,80,0
2023,SD,second_lowest,ehb_named_states_only,same_plan_if_available_else_lowest_level,both_zero,52,0,52
2023,SD,second_lowest,ehb_named_states_only,same_plan_if_available_else_lowest_level,turnover,80,80,0
2023,SD,second_lowest,ehb_named_states_only,same_plan_if_available_else_source_order,both_zero,52,0,52
2023,SD,second_lowest,ehb_named_states_only,same_plan_if_available_else_source_order,turnover,80,80,0
2023,SD,second_lowest,ehb_named_states_only,source_order_first_valid,both_zero,52,0,52
2023,SD,second_lowest,ehb_named_states_only,source_order_first_valid,turnover,80,80,0
2023,SD,second_lowest,ehb_named_states_only,whole_county_00000_only,both_zero,52,0,52
2023,SD,second_lowest,ehb_named_states_only,whole_county_00000_only,turnover,80,80,0
2023,TN,lowest,current_ehb_all_states,county_any_zip_across_turnover,both_zero,172,0,172
2023,TN,lowest,current_ehb_all_states,county_any_zip_across_turnover,turnover,18,18,0
2023,TN,lowest,current_ehb_all_states,county_any_zip_turnover,both_zero,172,0,172
2023,TN,lowest,current_ehb_all_states,county_any_zip_turnover,turnover,18,18,0
2023,TN,lowest,current_ehb_all_states,current_repo_rule,both_zero,172,0,172
2023,TN,lowest,current_ehb_all_states,current_repo_rule,turnover,18,18,0
2023,TN,lowest,current_ehb_all_states,exclude_level4_5,both_zero,172,0,172
2023,TN,lowest,current_ehb_all_states,exclude_level4_5,turnover,18,18,0
2023,TN,lowest,current_ehb_all_states,include_level4_5_as_missing_current,both_zero,172,0,172
2023,TN,lowest,current_ehb_all_states,include_level4_5_as_missing_current,turnover,18,18,0
2023,TN,lowest,current_ehb_all_states,lowest_crosswalk_level,both_zero,172,0,172
2023,TN,lowest,current_ehb_all_states,lowest_crosswalk_level,turnover,18,18,0
2023,TN,lowest,current_ehb_all_states,no_same_issuer_priority,both_zero,172,0,172
2023,TN,lowest,current_ehb_all_states,no_same_issuer_priority,turnover,18,18,0
2023,TN,lowest,current_ehb_all_states,reason8_priority,both_zero,172,0,172
2023,TN,lowest,current_ehb_all_states,reason8_priority,turnover,18,18,0
2023,TN,lowest,current_ehb_all_states,same_plan_if_available_else_lowest_level,both_zero,172,0,172
2023,TN,lowest,current_ehb_all_states,same_plan_if_available_else_lowest_level,turnover,18,18,0
2023,TN,lowest,current_ehb_all_states,same_plan_if_available_else_source_order,both_zero,172,0,172
2023,TN,lowest,current_ehb_all_states,same_plan_if_available_else_source_order,turnover,18,18,0
2023,TN,lowest,current_ehb_all_states,source_order_first_valid,both_zero,172,0,172
2023,TN,lowest,current_ehb_all_states,source_order_first_valid,turnover,18,18,0
2023,TN,lowest,current_ehb_all_states,whole_county_00000_only,both_zero,172,0,172
2023,TN,lowest,current_ehb_all_states,whole_county_00000_only,turnover,18,18,0
2023,TN,lowest,ehb_named_states_only,county_any_zip_across_turnover,both_zero,172,0,172
2023,TN,lowest,ehb_named_states_only,county_any_zip_across_turnover,turnover,18,18,0
2023,TN,lowest,ehb_named_states_only,county_any_zip_turnover,both_zero,172,0,172
2023,TN,lowest,ehb_named_states_only,county_any_zip_turnover,turnover,18,18,0
2023,TN,lowest,ehb_named_states_only,current_repo_rule,both_zero,172,0,172
2023,TN,lowest,ehb_named_states_only,current_repo_rule,turnover,18,18,0
2023,TN,lowest,ehb_named_states_only,exclude_level4_5,both_zero,172,0,172
2023,TN,lowest,ehb_named_states_only,exclude_level4_5,turnover,18,18,0
2023,TN,lowest,ehb_named_states_only,include_level4_5_as_missing_current,both_zero,172,0,172
2023,TN,lowest,ehb_named_states_only,include_level4_5_as_missing_current,turnover,18,18,0
2023,TN,lowest,ehb_named_states_only,lowest_crosswalk_level,both_zero,172,0,172
2023,TN,lowest,ehb_named_states_only,lowest_crosswalk_level,turnover,18,18,0
2023,TN,lowest,ehb_named_states_only,no_same_issuer_priority,both_zero,172,0,172
2023,TN,lowest,ehb_named_states_only,no_same_issuer_priority,turnover,18,18,0
2023,TN,lowest,ehb_named_states_only,reason8_priority,both_zero,172,0,172
2023,TN,lowest,ehb_named_states_only,reason8_priority,turnover,18,18,0
2023,TN,lowest,ehb_named_states_only,same_plan_if_available_else_lowest_level,both_zero,172,0,172
2023,TN,lowest,ehb_named_states_only,same_plan_if_available_else_lowest_level,turnover,18,18,0
2023,TN,lowest,ehb_named_states_only,same_plan_if_available_else_source_order,both_zero,172,0,172
2023,TN,lowest,ehb_named_states_only,same_plan_if_available_else_source_order,turnover,18,18,0
2023,TN,lowest,ehb_named_states_only,source_order_first_valid,both_zero,172,0,172
2023,TN,lowest,ehb_named_states_only,source_order_first_valid,turnover,18,18,0
2023,TN,lowest,ehb_named_states_only,whole_county_00000_only,both_zero,172,0,172
2023,TN,lowest,ehb_named_states_only,whole_county_00000_only,turnover,18,18,0
2023,TN,second_lowest,current_ehb_all_states,county_any_zip_across_turnover,both_zero,156,0,156
2023,TN,second_lowest,current_ehb_all_states,county_any_zip_across_turnover,turnover,34,34,0
2023,TN,second_lowest,current_ehb_all_states,county_any_zip_turnover,both_zero,156,0,156
2023,TN,second_lowest,current_ehb_all_states,county_any_zip_turnover,turnover,34,34,0
2023,TN,second_lowest,current_ehb_all_states,current_repo_rule,both_zero,156,0,156
2023,TN,second_lowest,current_ehb_all_states,current_repo_rule,turnover,34,34,0
2023,TN,second_lowest,current_ehb_all_states,exclude_level4_5,both_zero,156,0,156
2023,TN,second_lowest,current_ehb_all_states,exclude_level4_5,turnover,34,34,0
2023,TN,second_lowest,current_ehb_all_states,include_level4_5_as_missing_current,both_zero,156,0,156
2023,TN,second_lowest,current_ehb_all_states,include_level4_5_as_missing_current,turnover,34,34,0
2023,TN,second_lowest,current_ehb_all_states,lowest_crosswalk_level,both_zero,156,0,156
2023,TN,second_lowest,current_ehb_all_states,lowest_crosswalk_level,turnover,34,34,0
2023,TN,second_lowest,current_ehb_all_states,no_same_issuer_priority,both_zero,156,0,156
2023,TN,second_lowest,current_ehb_all_states,no_same_issuer_priority,turnover,34,34,0
2023,TN,second_lowest,current_ehb_all_states,reason8_priority,both_zero,156,0,156
2023,TN,second_lowest,current_ehb_all_states,reason8_priority,turnover,34,34,0
2023,TN,second_lowest,current_ehb_all_states,same_plan_if_available_else_lowest_level,both_zero,156,0,156
2023,TN,second_lowest,current_ehb_all_states,same_plan_if_available_else_lowest_level,turnover,34,34,0
2023,TN,second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,both_zero,156,0,156
2023,TN,second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,turnover,34,34,0
2023,TN,second_lowest,current_ehb_all_states,source_order_first_valid,both_zero,156,0,156
2023,TN,second_lowest,current_ehb_all_states,source_order_first_valid,turnover,34,34,0
2023,TN,second_lowest,current_ehb_all_states,whole_county_00000_only,both_zero,156,0,156
2023,TN,second_lowest,current_ehb_all_states,whole_county_00000_only,turnover,34,34,0
2023,TN,second_lowest,ehb_named_states_only,county_any_zip_across_turnover,both_zero,156,0,156
2023,TN,second_lowest,ehb_named_states_only,county_any_zip_across_turnover,turnover,34,34,0
2023,TN,second_lowest,ehb_named_states_only,county_any_zip_turnover,both_zero,156,0,156
2023,TN,second_lowest,ehb_named_states_only,county_any_zip_turnover,turnover,34,34,0
2023,TN,second_lowest,ehb_named_states_only,current_repo_rule,both_zero,156,0,156
2023,TN,second_lowest,ehb_named_states_only,current_repo_rule,turnover,34,34,0
2023,TN,second_lowest,ehb_named_states_only,exclude_level4_5,both_zero,156,0,156
2023,TN,second_lowest,ehb_named_states_only,exclude_level4_5,turnover,34,34,0
2023,TN,second_lowest,ehb_named_states_only,include_level4_5_as_missing_current,both_zero,156,0,156
2023,TN,second_lowest,ehb_named_states_only,include_level4_5_as_missing_current,turnover,34,34,0
2023,TN,second_lowest,ehb_named_states_only,lowest_crosswalk_level,both_zero,156,0,156
2023,TN,second_lowest,ehb_named_states_only,lowest_crosswalk_level,turnover,34,34,0
2023,TN,second_lowest,ehb_named_states_only,no_same_issuer_priority,both_zero,156,0,156
2023,TN,second_lowest,ehb_named_states_only,no_same_issuer_priority,turnover,34,34,0
2023,TN,second_lowest,ehb_named_states_only,reason8_priority,both_zero,156,0,156
2023,TN,second_lowest,ehb_named_states_only,reason8_priority,turnover,34,34,0
2023,TN,second_lowest,ehb_named_states_only,same_plan_if_available_else_lowest_level,both_zero,156,0,156
2023,TN,second_lowest,ehb_named_states_only,same_plan_if_available_else_lowest_level,turnover,34,34,0
